t,th_deg,al_deg,pwm,i_ma,mode
26.5704,-11.43,51.15,-49,3.1,5
26.6286,-18.28,59.94,-49,3.1,5
26.6881,-20.21,66.44,-49,15.7,5
26.7418,-17.4,65.04,-49,15.7,5
26.7998,-14.59,63.28,-49,15.4,5
26.8688,-15.12,63.98,23,3.4,5
26.9444,-22.85,69.43,49,3.4,5
27.0045,-24.96,69.96,0,37.3,5
27.0605,-24.96,69.08,-49,16.3,5
27.1231,-23.91,67.32,-49,16.3,5
27.1834,-22.85,65.22,-49,14.9,5
27.2471,-23.38,64.51,-49,14.9,5
27.3298,-24.79,62.58,-40,15.3,5
27.3958,-27.95,60.47,20,3.8,5
27.4694,-34.28,63.1,5,3.7,5
27.545,-35.68,64.51,-48,3.7,5
27.6312,-36.39,63.81,-48,13.9,5
27.6971,-35.16,61.52,-48,14.0,5
27.7599,-31.64,56.78,-48,12.8,5
27.8401,-27.95,54.32,-49,12.8,5
27.9049,-21.09,50.27,40,3.7,5
27.9895,-25.14,55.37,15,43.6,5
28.0494,-29.18,60.47,-48,43.6,5
28.1081,-24.61,57.3,-49,13.3,5
28.1668,-17.75,50.8,-49,14.5,5
28.2401,-3.87,48.16,-49,14.5,5
28.307,7.21,39.73,14,14.0,5
28.3687,4.04,41.84,49,43.2,5
28.4261,-4.57,47.46,49,43.2,5
28.4847,-18.28,53.97,43,42.3,5
28.5774,-25.14,66.27,-49,15.4,5
28.666,-15.29,59.41,-49,14.4,5
28.7193,-4.92,59.24,-49,14.4,5
28.7845,9.84,45.35,-9,14.1,5
28.8477,8.44,46.41,49,14.1,5
28.9274,-2.64,52.91,49,42.4,5
29.0021,-22.5,64.34,10,41.6,5
29.079,-27.95,76.11,-49,13.8,5
29.1575,-23.38,72.95,-49,13.8,5
29.2191,-17.4,67.32,-49,14.5,5
29.3004,-9.32,65.57,-49,14.5,5
29.3677,2.99,57.66,49,46.1,5
29.4289,5.1,54.14,49,46.1,5
29.4972,-0.7,57.13,49,43.4,5
29.5566,-10.37,62.23,-21,3.6,5
29.617,-13.54,63.98,-49,3.6,5
29.6798,-9.67,62.75,-49,14.3,5
29.7438,2.11,59.06,-49,14.3,5
29.8023,11.43,53.97,19,14.2,5
29.8585,14.06,52.03,49,46.8,5
29.9142,9.67,53.61,49,46.8,5
29.9918,1.58,57.48,49,42.5,5
