time_s;mode;position_deg;setpoint_deg;pend_position_deg;pwm;voltage_v;current_mA;power_mW
36.8;5;-58.887;0;-64.336;-50;;68.8;1020
37.0;5;-18.809;0;37.266;-50;;65.7;976
37.2;5;-5.449;0;93.867;50;;76.8;1138
37.4;5;-3.691;0;81.035;50;;76;1124
37.4;5;-36.035;0;-10.723;50;;65.5;974
37.5;5;-61.699;0;-90.527;50;;77.9;1154
37.6;5;-65.215;0;-96.152;50;;74.7;1104
37.6;5;-55.195;0;-29.531;-50;;63;934
37.7;5;-15.117;0;78.926;-50;;68.1;1010
37.9;5;-12.832;0;111.445;50;;76;1124
37.9;5;-10.898;0;76.816;50;;75.3;1114
38.0;5;-51.152;0;-36.738;50;;68.7;1020
38.1;5;-62.754;0;-106.875;-50;;69.3;1028
38.2;5;-62.227;0;-109.512;50;;75.6;1120
38.2;5;-56.426;0;-43.418;-50;;64.7;960
38.3;5;-11.074;0;76.992;-50;;67.5;1002
38.4;5;-10.195;0;123.926;50;;75.4;1118
38.5;5;-10.195;0;109.688;-50;;68.5;1016
38.5;5;-23.027;0;25.84;50;;68.3;1012
38.6;5;-63.984;0;-90.703;50;;71.7;1062
38.8;5;-60.82;0;-131.484;-50;;70.7;1048
39.0;5;-59.941;0;-115.488;50;;77.4;1144
39.2;5;-50.098;0;-31.641;-50;;62.7;930
39.4;5;-8.086;0;91.758;-50;;69.2;1026
39.5;5;-14.238;0;141.855;50;;74.8;1108
39.6;5;-18.105;0;141.855;-50;;68.1;1010
39.6;5;-10.371;0;84.199;-50;;69.6;1032
39.7;5;-53.262;0;-48.867;50;;70;1038
39.8;5;-55.547;0;-130.781;-50;;67.6;1002
39.9;4;-38.496;0;-166.113;100;;205.3;2932
40.1;4;-58.008;0;-139.043;-77;;130.6;1908
40.3;4;-71.016;0;-64.687;100;;205.1;2932
40.4;4;-49.395;0;68.203;-100;;189.2;2716
40.5;4;-56.074;0;135.176;-100;;188.9;2710
40.5;4;-29.883;0;121.465;-100;;180.7;2602
40.6;4;1.934;0;29.531;-100;;188.9;2714
40.7;4;15.117;0;-93.164;100;;211.2;3012
40.7;4;38.496;0;-142.383;100;;216;3074
40.8;4;17.227;0;-103.887;100;;203.3;2906
40.9;4;5.098;0;8.789;0;;27;404
40.9;4;-13.184;0;110.215;-100;;197.7;2832
41.0;4;-28.477;0;134.297;-100;;189.4;2720
41.1;4;-10.723;0;78.223;-100;;186.3;2678
41.1;4;-16.523;0;-46.23;100;;203.1;2904
41.2;4;-2.285;0;-122.52;100;;207;2956
41.3;4;-10.371;0;-121.816;100;;197.3;2824
41.5;4;-35.684;0;-44.473;100;;201.5;2884
41.7;4;-41.133;0;76.465;-100;;195.2;2798
41.9;4;-61.699;0;130.781;-100;;202.3;2894
42.1;4;-47.812;0;103.535;-100;;183.8;2642
42.3;4;-36.211;0;0.527;0;;27.2;406
42.5;4;-24.609;0;-100.02;100;;210.7;3004
42.5;4;-13.359;0;-124.98;100;;202.9;2900
42.7;4;-30.41;0;-73.125;100;;200.2;2864
42.8;4;-28.477;0;45.703;-100;;190.1;2726
42.8;4;-43.77;0;117.422;-100;;192.9;2766
42.9;4;-37.617;0;112.324;-100;;185.2;2660
43.0;4;-18.984;0;31.992;-100;;198.6;2844
43.0;4;-15.293;0;-81.035;100;;208.7;2978
43.1;4;-0.879;0;-122.871;100;;215.5;3068
43.2;4;-16.523;0;-86.66;100;;199.2;2850
43.2;4;-21.797;0;21.094;0;;26.9;404
43.4;4;-37.266;0;105.293;-100;;195.5;2802
43.6;4;-41.133;0;114.434;-100;;190.7;2736
43.7;4;-25.137;0;47.812;-100;;188.7;2706
43.7;4;-26.367;0;-66.445;100;;208.3;2972
43.8;4;-13.008;0;-115.84;100;;205.3;2932
44.0;4;-24.609;0;-90.352;100;;199.8;2858
44.1;4;-31.816;0;7.734;0;;27.3;410
44.2;4;-42.539;0;97.031;-100;;203.8;2914
44.2;4;-47.109;0;112.324;-100;;187.4;2690
44.3;4;-30.586;0;52.207;-100;;188.3;2704
44.4;4;-30.059;0;-59.238;100;;206.9;2952
44.4;4;-15.996;0;-111.621;100;;205.3;2932
44.5;4;-24.785;0;-90;100;;199.5;2854
44.6;4;-32.168;0;3.867;0;;29;432
44.7;4;-41.66;0;92.285;-100;;198.2;2838
44.8;4;-46.582;0;107.93;-100;;188.3;2704
44.9;4;-31.816;0;49.57;-100;;188.5;2706
44.9;4;-30.762;0;-57.656;100;;207;2956
45.1;4;-18.105;0;-106.875;100;;205.3;2932
45.2;4;-26.895;0;-83.145;100;;200.3;2864
45.3;4;-31.816;0;11.25;0;;26.9;404
45.4;4;-40.781;0;93.516;-100;;193.7;2776
45.4;4;-42.012;0;103.184;-100;;196.6;2814
45.5;4;-27.07;0;40.43;-100;;188.5;2706
45.6;4;-24.609;0;-63.281;100;;206.8;2952
45.6;4;-12.832;0;-105.293;100;;204.7;2926
45.7;4;-22.324;0;-75.059;100;;204.1;2916
45.8;4;-25.137;0;22.5;0;;27.4;410
45.8;4;-37.09;0;94.219;-100;;193.9;2782
45.9;4;-37.441;0;94.746;-100;;187.9;2696
46.0;4;-26.895;0;24.258;-100;;190.2;2730
46.1;4;-23.555;0;-70.137;100;;206.8;2952
46.2;4;-15.996;0;-99.492;100;;203.3;2906
46.3;4;-27.246;0;-58.359;100;;201.7;2884
46.4;4;-29.18;0;39.727;-100;;189.7;2724
46.5;4;-40.957;0;95.801;-100;;192.5;2760
46.7;4;-35.859;0;81.387;-100;;187.3;2690
46.7;4;-29.004;0;-1.23;0;;27;404
46.8;4;-21.621;0;-80.684;100;;214.8;3058
46.9;4;-18.633;0;-92.461;100;;202.5;2896
47.0;4;-29.883;0;-34.98;100;;203;2904
47.0;4;-31.641;0;59.941;-100;;193.4;2772
47.2;4;-40.254;0;96.152;-100;;190.9;2740
47.2;4;-30.937;0;62.051;-100;;187.9;2696
47.3;4;-29.004;0;-30.586;0;;27.2;406
47.4;4;-18.984;0;-89.297;100;;217.9;3104
47.4;4;-23.027;0;-80.156;100;;201.7;2884
47.5;4;-31.465;0;-4.57;0;;26.9;404
47.7;4;-38.145;0;76.289;-100;;194;2782
47.8;4;-41.484;0;91.406;-100;;197.6;2832
47.8;4;-29.883;0;37.617;-100;;188.7;2710
47.9;4;-26.191;0;-54.316;100;;207.9;2968
47.9;4;-17.051;0;-91.758;100;;205;2930
48.0;4;-25.137;0;-61.348;100;;201.7;2884
48.2;4;-27.246;0;28.301;0;;27.2;406
48.3;4;-36.387;0;87.363;-100;;192.3;2760
48.3;4;-32.695;0;78.926;-100;;188.3;2704
48.4;4;-24.961;0;4.57;0;;27.5;412
