attempt,t,pend_deg,mode,pwm,v_bus
4,23.953,1.76,4,35,14.996
4,24.287,1.93,4,35,14.992
4,24.591,1.41,4,35,14.992
4,24.884,1.93,4,34,14.992
4,25.183,1.41,4,35,14.992
4,25.417,1.76,4,34,14.996
4,25.675,1.58,4,34,14.988
4,26.007,2.29,4,34,14.996
4,26.235,1.58,4,34,14.996
4,26.458,1.23,4,35,14.992
4,26.727,2.11,4,34,14.996
4,27.048,1.41,4,35,14.992
4,27.338,1.93,4,34,14.992
4,27.569,1.23,4,34,14.996
4,27.846,2.11,4,34,14.992
4,28.159,1.41,4,34,14.996
4,28.468,1.76,4,34,14.996
4,28.789,1.58,4,34,14.992
4,29.082,1.76,4,34,14.988
4,29.316,1.41,4,34,14.992
4,29.593,1.93,4,34,14.996
4,29.839,1.41,4,34,14.992
5,0.086,-28.65,5,52,14.776
5,0.398,43.42,5,59,14.700
5,0.704,27.07,5,-31,15.012
5,1.023,-72.77,5,54,14.792
5,1.316,60.12,5,54,14.824
5,1.559,-42.19,5,-57,14.888
5,1.836,58.89,5,52,14.776
5,2.141,-79.28,5,-58,14.864
5,2.373,88.59,5,53,14.820
5,2.628,-83.85,5,-56,15.020
5,2.955,80.16,5,51,14.792
5,3.292,-82.09,5,57,14.764
5,3.519,-74.53,5,-59,14.844
5,3.788,144.32,5,-41,14.788
5,4.088,-78.93,5,59,14.724
5,4.422,-287.05,4,23,15.016
5,4.709,14.24,5,-44,14.876
5,5.005,87.01,5,37,14.984
5,5.309,88.24,5,37,14.972
5,5.546,65.04,5,51,14.852
5,5.847,115.49,5,59,14.856
5,6.133,58.36,4,-24,15.016
5,6.363,68.91,4,-67,14.768
5,6.659,117.25,4,-54,14.916
5,6.952,17.05,4,-37,15.000
5,7.181,77.34,4,-41,15.000
5,7.420,101.43,4,-52,14.928
5,7.692,83.14,4,-49,14.972
5,7.977,63.81,4,-39,15.016
5,8.220,77.69,4,-38,15.012
5,8.459,82.79,4,-43,15.004
5,8.687,82.79,4,-44,14.996
5,8.996,77.69,4,-41,15.008
5,9.306,79.63,4,-41,15.004
5,9.614,79.81,4,-42,15.004
5,9.919,78.75,4,-42,15.008
5,10.237,79.45,4,-42,15.012
5,10.469,78.75,4,-42,15.012
5,10.741,79.28,4,-42,15.008
5,11.047,78.93,4,-42,15.004
5,11.365,79.28,4,-42,15.008
5,11.635,78.93,4,-42,14.992
5,11.977,79.10,4,-42,15.008
5,12.287,79.10,4,-42,15.008
5,12.585,79.10,4,-42,15.004
5,12.907,79.10,4,-42,15.008
5,13.193,79.10,4,-42,15.004
5,13.519,79.10,4,-42,15.008
5,13.808,79.10,4,-42,15.004
5,14.135,79.10,4,-42,15.008
5,14.361,79.10,4,-42,15.004
5,14.631,79.10,4,-42,15.004
5,14.940,79.10,4,-42,15.000
5,15.169,79.10,4,-42,15.004
5,15.453,79.10,4,-42,14.996
5,15.680,79.10,4,-42,15.004
5,15.950,79.10,4,-42,15.004
5,16.180,79.10,4,-42,15.000
5,16.420,79.10,4,-42,15.004
5,16.693,79.10,4,-42,15.004
5,17.003,79.10,4,-42,15.004
5,17.302,79.10,4,-42,15.004
5,17.606,79.10,4,-42,15.004
5,17.918,79.10,4,-42,15.004
5,18.213,79.10,4,-42,15.004
5,18.526,79.10,4,-42,15.004
5,18.752,79.10,4,-42,15.004
5,19.023,79.10,4,-42,15.004
5,19.253,79.10,4,-42,15.004
5,19.486,79.10,4,-42,15.004
5,19.739,79.10,4,-42,15.000
5,20.075,79.10,4,-42,15.000
5,20.332,79.10,4,-42,15.004
5,20.692,79.10,4,-42,15.000
5,20.946,79.10,4,-42,15.004
5,21.307,79.10,4,-42,14.996
5,21.603,79.10,4,-42,15.004
5,21.916,79.10,4,-42,15.004
5,22.206,79.10,4,-42,15.004
5,22.516,79.10,4,-42,15.000
5,22.829,79.10,4,-42,15.004
5,23.051,79.10,4,-42,15.008
5,23.333,79.10,4,-42,15.004
5,23.653,79.10,4,-42,15.004
5,23.952,79.10,4,-42,15.004
5,24.177,79.10,4,-42,15.008
5,24.483,79.10,4,-42,15.008
5,24.771,79.10,4,-42,15.004
5,25.002,79.10,4,-42,15.004
5,25.287,79.10,4,-42,15.008
5,25.589,79.10,4,-42,15.004
5,25.905,79.10,4,-42,15.004
5,26.204,79.10,4,-42,15.008
5,26.514,79.10,4,-42,15.004
5,26.836,79.28,4,-42,15.004
5,27.060,79.10,4,-42,15.004
5,27.328,79.28,4,-41,15.012
5,27.640,78.93,4,-41,15.012
5,27.890,79.10,4,-41,15.008
5,28.154,78.93,4,-41,15.008
5,28.389,79.10,4,-41,15.008
5,28.678,79.10,4,-41,15.004
5,28.967,79.10,4,-41,15.004
5,29.274,79.10,4,-41,15.008
5,29.523,79.10,4,-41,15.004
5,29.799,79.10,4,-41,14.996
6,0.100,4.22,5,59,14.928
6,0.360,-14.24,5,-57,14.884
6,0.719,-51.50,5,-10,15.024
6,0.963,48.69,5,59,14.864
6,1.226,-19.86,5,59,14.768
6,1.524,-42.72,5,-55,14.916
6,1.752,126.03,5,59,14.712
6,2.041,-100.37,5,-53,15.020
6,2.365,-36.21,5,-54,14.948
6,2.655,138.16,5,58,14.712
6,2.973,-107.40,5,-50,14.952
6,3.204,-94.39,5,-43,15.004
6,9.631,98.97,0,0,15.020
6,9.923,98.44,0,0,15.020
6,10.234,98.79,0,0,15.024
6,10.541,98.61,0,0,15.016
6,10.848,98.61,0,0,15.020
6,11.169,98.79,0,0,15.020
6,11.470,98.44,0,0,15.024
6,11.770,98.79,0,0,15.020
6,12.001,98.61,0,0,15.020
6,12.287,98.61,0,0,15.020
6,12.592,98.61,0,0,15.016
6,12.923,98.61,0,0,15.020
6,13.206,98.61,0,0,15.020
6,13.529,98.61,0,0,15.020
6,13.814,98.61,0,0,15.016
6,14.121,98.61,0,0,15.016
6,14.431,98.61,0,0,15.020
6,14.741,98.61,0,0,15.016
6,15.042,98.61,0,0,15.020
6,15.355,98.61,0,0,15.020
6,15.672,98.61,0,0,15.020
6,15.969,98.61,0,0,15.020
6,16.273,98.61,0,0,15.024
6,16.598,98.61,0,0,15.016
6,16.882,98.61,0,0,15.020
6,17.197,98.61,0,0,15.020
6,17.508,98.61,0,0,15.016
6,17.812,98.61,0,0,15.020
6,18.139,98.61,0,0,15.020
6,18.444,98.61,0,0,15.024
6,18.762,98.61,0,0,15.020
6,19.031,98.61,0,0,15.020
6,19.373,98.61,0,0,15.020
6,19.660,98.61,0,0,15.020
6,19.964,98.61,0,0,15.016
6,20.268,98.61,0,0,15.020
6,20.571,98.61,0,0,15.016
6,20.878,98.61,0,0,15.020
6,21.190,98.61,0,0,15.016
6,21.496,98.61,0,0,15.020
6,21.827,98.61,0,0,15.020
6,22.111,98.61,0,0,15.020
6,22.419,98.61,0,0,15.016
6,22.757,98.61,0,0,15.020
6,23.036,98.61,0,0,15.020
6,23.345,98.61,0,0,15.020
6,23.647,98.61,0,0,15.020
6,23.960,98.61,0,0,15.020
6,24.268,98.61,0,0,15.020
6,24.576,98.61,0,0,15.020
6,24.877,98.61,0,0,15.020
6,25.193,98.61,0,0,15.020
6,25.492,98.61,0,0,15.016
6,25.810,98.61,0,0,15.020
6,26.111,98.61,0,0,15.020
6,26.403,98.61,0,0,15.016
6,26.723,98.61,0,0,15.020
6,27.027,98.61,0,0,15.016
6,27.351,98.61,0,0,15.020
6,27.647,98.61,0,0,15.020
6,27.971,98.61,0,0,15.020
6,28.295,98.61,0,0,15.016
6,28.568,98.61,0,0,15.020
6,28.900,98.61,0,0,15.020
6,29.180,98.61,0,0,15.020
6,29.490,98.61,0,0,15.020
6,29.793,98.61,0,0,15.020
6,30.118,98.61,0,0,15.020
7,0.075,4.04,5,59,14.852
7,0.366,-25.31,5,-57,14.880
7,0.679,-10.20,5,58,14.772
7,0.973,34.98,5,-59,14.880
7,1.315,-54.49,5,59,14.748
7,1.591,-10.37,5,-56,14.916
7,1.906,98.79,5,59,14.728
7,2.221,-134.47,5,-52,14.936
7,2.514,98.61,5,-59,14.864
7,2.819,112.50,5,-56,14.752
7,3.131,-132.19,5,-45,14.992
7,3.437,103.53,5,-47,14.984
7,3.753,-16.88,5,-46,14.968
7,4.071,-24.79,5,-59,14.900
7,4.373,65.04,5,57,14.784
7,4.671,-111.09,5,-46,14.980
7,4.973,127.97,5,-49,14.968
7,5.272,-87.72,5,-50,14.964
7,5.580,57.48,5,34,14.984
7,5.891,-71.72,5,-47,14.972
7,6.215,82.09,5,-43,15.000
7,6.510,-60.82,5,-36,15.016
7,6.831,51.85,5,-54,15.020
7,7.122,-44.30,5,58,14.888
7,7.446,-27.77,5,59,14.768
7,7.737,0.88,5,-55,14.924
