sp,attempt,t,pend_deg,mode,pwm,v_bus
60,4,9.525,141.15,5,59,14.696
60,4,9.821,-92.64,5,-52,14.932
60,4,10.047,-132.01,5,-53,14.924
60,4,10.279,92.64,5,-59,14.860
60,4,10.504,147.48,5,58,14.772
60,4,10.729,12.48,5,-55,15.020
60,4,10.957,-98.97,5,-36,15.012
60,4,11.181,95.45,5,-39,15.012
60,4,11.408,33.57,5,-35,15.008
60,4,11.643,-88.77,5,-33,15.016
60,4,11.867,90.88,5,-49,14.972
60,4,12.104,-31.46,5,-52,14.936
60,4,12.343,-50.80,5,-59,14.872
60,4,12.578,-41.66,5,41,14.876
60,4,12.810,37.62,5,-52,14.940
60,4,13.050,23.03,5,-50,14.952
60,4,13.304,-11.07,5,-58,14.908
60,4,13.556,-21.09,5,59,14.768
60,4,13.792,-50.80,5,-51,14.948
60,4,14.024,101.25,5,-57,14.932
60,4,14.300,-87.19,5,-52,14.948
60,4,14.533,59.59,5,-59,14.868
60,4,14.838,-60.29,5,-52,14.992
60,4,15.069,-43.24,5,-46,14.992
60,4,15.301,106.70,5,-53,15.012
60,4,15.538,-75.76,5,-51,14.952
60,4,15.760,2.11,5,-59,14.904
60,4,15.995,-43.95,5,-31,15.016
60,4,16.243,43.59,5,-50,14.956
60,4,16.466,10.02,5,-48,14.964
60,4,16.692,-26.37,5,-55,14.936
60,4,16.937,43.07,5,58,14.748
60,4,17.169,-91.58,5,-53,14.916
60,4,17.398,96.33,5,-56,14.892
60,4,17.655,-8.96,5,-52,14.908
60,4,17.890,-58.71,5,-52,14.944
60,4,18.126,95.98,5,58,14.724
60,4,18.409,-118.65,5,-31,15.012
60,4,18.637,-32.17,5,-52,14.964
60,4,18.950,117.60,5,59,14.688
60,4,19.243,-130.25,5,-51,14.944
60,4,19.541,48.87,5,59,14.880
60,4,19.767,136.58,5,58,14.732
60,4,19.992,-24.26,5,-21,15.008
60,4,20.225,-117.60,5,-41,15.000
60,4,20.453,95.80,5,-47,14.976
60,4,20.682,80.68,5,-50,14.960
60,4,20.907,-109.51,5,-52,14.956
