t_s,position_deg,setpoint_deg,error_deg,pwm,current_ma,voltage_v,power_mw
1251.8160,-24.0820,45.0000,69.0820,0.0000,0.0000,0.0000,0.0000
1251.9160,-24.0820,45.0000,69.0820,0.0000,0.0000,0.0000,0.0000
1252.1210,-24.0820,45.0000,69.0820,0.0000,0.0000,0.0000,0.0000
1252.1520,-24.0820,45.0000,69.0820,0.0000,0.0000,0.0000,0.0000
1252.3440,-24.0820,45.0000,69.0820,0.0000,0.0000,0.0000,0.0000
1252.3760,-24.0820,45.0000,69.0820,0.0000,0.0000,0.0000,0.0000
1252.5420,-24.0820,45.0000,69.0820,0.0000,0.0000,0.0000,0.0000
1252.6010,-24.0820,45.0000,69.0820,0.0000,0.0000,0.0000,0.0000
1252.7350,-24.0820,45.0000,69.0820,0.0000,0.0000,0.0000,0.0000
1252.8130,-24.0820,45.0000,69.0820,0.0000,0.0000,0.0000,0.0000
1252.9370,-24.0820,45.0000,69.0820,0.0000,0.0000,0.0000,0.0000
1253.1470,-24.0820,45.0000,69.0820,0.0000,0.0000,0.0000,0.0000
1253.1630,-24.0820,45.0000,69.0820,0.0000,0.0000,0.0000,0.0000
1253.3510,-24.0820,45.0000,69.0820,0.0000,0.0000,0.0000,0.0000
1253.3830,-24.0820,45.0000,69.0820,0.0000,0.0000,0.0000,0.0000
1253.5810,-24.0820,45.0000,69.0820,0.0000,0.0000,0.0000,0.0000
1253.6080,-24.0820,45.0000,69.0820,0.0000,0.0000,0.0000,0.0000
1253.7630,-24.0820,45.0000,69.0820,0.0000,0.0000,0.0000,0.0000
1253.8210,-24.0820,45.0000,69.0820,0.0000,0.0000,0.0000,0.0000
1254.0050,-24.0820,45.0000,69.0820,0.0000,0.0000,0.0000,0.0000
1254.0460,-24.0820,45.0000,69.0820,0.0000,0.0000,0.0000,0.0000
1254.2870,-24.0820,45.0000,69.0820,0.0000,0.0000,0.0000,0.0000
1254.3070,-24.0820,45.0000,69.0820,0.0000,0.0000,0.0000,0.0000
1254.4760,-24.0820,45.0000,69.0820,0.0000,0.0000,0.0000,0.0000
1254.5220,-24.0820,45.0000,69.0820,0.0000,0.0000,0.0000,0.0000
1254.6810,-24.0820,45.0000,69.0820,0.0000,0.0000,0.0000,0.0000
1254.7880,-24.0820,45.0000,69.0820,0.0000,0.0000,0.0000,0.0000
1254.9930,-24.0820,45.0000,69.0820,0.0000,0.0000,0.0000,0.0000
1255.0220,-24.0820,45.0000,69.0820,0.0000,0.0000,0.0000,0.0000
1255.2990,-24.0820,45.0000,69.0820,0.0000,0.0000,0.0000,0.0000
1255.4090,-24.0820,45.0000,69.0820,0.0000,0.0000,0.0000,0.0000
1255.6240,-24.0820,45.0000,69.0820,0.0000,0.0000,0.0000,0.0000
1255.6960,-24.0820,45.0000,69.0820,0.0000,0.0000,0.0000,0.0000
1255.7450,-24.0820,45.0000,69.0820,0.0000,0.0000,0.0000,0.0000
1255.9120,-24.0820,45.0000,69.0820,0.0000,0.0000,0.0000,0.0000
1256.0170,-24.0820,45.0000,69.0820,0.0000,0.0000,0.0000,0.0000
1256.2170,-24.0820,45.0000,69.0820,0.0000,0.0000,0.0000,0.0000
1256.2420,-24.0820,45.0000,69.0820,0.0000,0.0000,0.0000,0.0000
1256.4270,-24.0820,45.0000,69.0820,0.0000,0.0000,0.0000,0.0000
1256.4770,-24.0820,45.0000,69.0820,0.0000,0.0000,0.0000,0.0000
1256.6300,-24.0820,45.0000,69.0820,0.0000,0.0000,0.0000,0.0000
1256.6630,-24.0820,45.0000,69.0820,0.0000,0.0000,0.0000,0.0000
1256.8310,-24.0820,45.0000,69.0820,0.0000,0.0000,0.0000,0.0000
1256.8780,-24.0820,45.0000,69.0820,0.0000,0.0000,0.0000,0.0000
1257.0400,-24.0820,45.0000,69.0820,0.0000,0.0000,0.0000,0.0000
1257.0980,-24.0820,45.0000,69.0820,0.0000,0.0000,0.0000,0.0000
1257.2410,-24.0820,45.0000,69.0820,0.0000,0.0000,0.0000,0.0000
1257.2930,-24.0820,45.0000,69.0820,0.0000,0.0000,0.0000,0.0000
1257.4490,-24.0820,45.0000,69.0820,0.0000,0.0000,0.0000,0.0000
1257.4950,-24.0820,45.0000,69.0820,0.0000,0.0000,0.0000,0.0000
1257.6750,-24.0820,45.0000,69.0820,0.0000,0.0000,0.0000,0.0000
