t,theta,alpha,theta_dot,alpha_dot
18.928396224975586,-0.0798,0.0368,0.0,7.9701
18.989733695983887,-0.0798,0.3099,0.0,6.6919
19.047515869140625,-0.0798,0.4142,0.0,3.9879
19.14770793914795,-0.0798,0.3559,0.0,-2.7108
19.19843864440918,-0.0798,0.1104,0.0,-6.835
19.2691547870636,-0.0798,-0.27,0.0,-7.0635
19.344935417175293,-0.0798,-0.4541,0.0,-2.1644
19.396703243255615,-0.0798,-0.4172,0.0,1.3539
19.469342947006226,-0.0798,-0.1258,0.0,6.6937
19.54506015777588,-0.0798,0.1718,0.0,7.442
19.641507863998413,-0.0828,0.4172,-0.0076,3.5082
19.719035625457764,-0.0828,0.3313,-0.0001,-3.3137
19.8083016872406,-0.0828,-0.0215,-0.0,-7.3996
19.866955518722534,-0.0828,-0.3068,-0.0,-6.9861
19.95142650604248,-0.0828,-0.4449,-0.0,-1.0588
20.010470390319824,-0.0828,-0.3221,-0.0,3.7972
20.086149215698242,-0.0828,0.043,-0.0,7.4427
20.17052388191223,-0.0828,0.362,-0.0,5.4462
20.26278066635132,-0.0828,0.3927,-0.0,-0.96
20.358701467514038,-0.0828,0.0982,-0.0,-7.0213
20.430864810943604,-0.0828,-0.2669,-0.0,-6.7817
20.494144439697266,-0.0828,-0.4295,-0.0,-3.7073
20.57101583480835,-0.0828,-0.3467,-0.0,3.2893
20.64400839805603,-0.0828,-0.1074,-0.0,6.6284
20.698023796081543,-0.0828,0.181,-0.0,7.2695
20.774823665618896,-0.0828,0.3835,-0.0,4.8074
20.83696436882019,-0.0828,0.3988,-0.0,-0.2487
20.898436307907104,-0.0828,0.224,-0.0,-5.3221
20.972421646118164,-0.0828,-0.1381,-0.0,-7.194
21.03789710998535,-0.0828,-0.3682,-0.0,-5.4597
21.10500168800354,-0.0828,-0.4295,-0.0,-0.8041
21.168923139572144,-0.0828,-0.2945,-0.0,4.1939
21.286235094070435,-0.0828,0.2332,-0.0,6.5959
21.37483787536621,-0.0828,0.3958,-0.0,3.6268
21.425559282302856,-0.0859,0.3682,-0.0564,-1.4397
21.50707769393921,-0.0859,0.0706,-0.001,-6.6267
21.558308362960815,-0.0859,-0.1197,-0.0001,-7.3046
21.631558895111084,-0.0828,-0.3958,0.0208,-4.2633
21.722470998764038,-0.0828,-0.3743,0.0004,1.991
21.810893535614014,-0.0828,-0.1565,0.0,6.3114
21.887330055236816,-0.0859,0.2853,-0.0564,6.264
21.939996004104614,-0.0859,0.3835,-0.0076,3.9141
22.020838975906372,-0.0859,0.316,-0.0001,-2.9427
22.106879472732544,-0.0859,-0.0031,-0.0,-6.8672
22.20512080192566,-0.0828,-0.3835,0.0028,-4.4318
22.26506543159485,-0.0828,-0.4142,0.0001,-0.2343
22.337926149368286,-0.0828,-0.27,0.0,4.3559
22.412872791290283,-0.0828,0.089,0.0,7.3007
22.4899320602417,-0.0828,0.3221,0.0,5.7154
22.565452337265015,-0.0828,0.3774,0.0,-0.4786
22.619593620300293,-0.0828,0.2823,0.0,-3.4626
22.682292938232422,-0.0828,0.0215,0.0,-7.1089
22.741909980773926,-0.0828,-0.2362,0.0,-6.4125
22.815805912017822,-0.0828,-0.4019,0.0,-3.5771
22.8773250579834,-0.0828,-0.3866,0.0,1.0582
22.95424485206604,-0.0828,-0.1074,0.0,6.5339
23.01176643371582,-0.0828,0.1657,0.0,7.2579
23.085275173187256,-0.0828,0.3528,0.0,4.499
23.18289566040039,-0.0828,0.3375,0.0,-2.0196
23.268239736557007,-0.0828,-0.046,0.0,-7.24
23.32733917236328,-0.0828,-0.2915,0.0,-6.0708
23.405516862869263,-0.0828,-0.408,0.0,-2.3507
23.489712238311768,-0.0828,-0.2792,0.0,4.0167
23.5713050365448,-0.0828,0.0736,0.0,7.6158
23.628987312316895,-0.0828,0.2976,0.0,5.4392
23.69032073020935,-0.0828,0.3835,0.0,1.4741
23.748544692993164,-0.0828,0.2945,0.0,-3.0076
23.818413019180298,-0.0828,0.0583,0.0,-6.6549
23.87458324432373,-0.0828,-0.1197,0.0,-7.0827
23.941865921020508,-0.0828,-0.3375,0.0,-4.9632
24.01253080368042,-0.0828,-0.3804,0.0,0.7306
24.073519468307495,-0.0828,-0.2178,0.0,4.6968
24.12876272201538,-0.0828,0.0368,0.0,6.7053
24.189587354660034,-0.0828,0.27,0.0,5.9867
24.25829553604126,-0.0828,0.3774,0.0,2.2486
24.323720455169678,-0.0828,0.3068,0.0,-2.5078
24.398388624191284,-0.0828,0.0859,0.0,-6.1539
24.453541040420532,-0.0828,-0.1871,0.0,-7.0707
24.537488222122192,-0.0828,-0.3651,0.0,-4.2591
24.621586322784424,-0.0828,-0.3068,0.0,2.9307
24.685587406158447,-0.0828,-0.0675,0.0,6.4166
24.74111294746399,-0.0828,0.1074,0.0,6.7031
24.835428476333618,-0.0828,0.3712,0.0,2.25
24.895597457885742,-0.0828,0.3037,0.0,-2.39
24.978376388549805,-0.0828,0.0767,0.0,-6.5875
25.04736304283142,-0.0828,-0.2516,0.0,-5.9396
