t,pend,servo,mode,pwm,v
35.237,1.76,-4.92,5,-17,14.77
35.322,3.16,-4.57,5,-34,14.76
35.411,0.88,-5.45,5,19,14.76
35.493,-1.23,-5.45,5,19,14.75
35.572,-2.64,-5.8,5,35,14.77
35.681,-1.23,-5.8,5,-17,14.76
35.775,2.99,-4.22,5,-34,14.77
35.857,2.46,-4.57,5,-34,14.77
35.946,-0.35,-5.27,5,19,14.76
36.018,-1.93,-5.27,5,19,14.73
36.132,-2.64,-6.15,5,-33,14.76
36.208,0.7,-5.27,5,-17,14.76
36.311,3.34,-4.57,5,-34,14.76
36.391,1.58,-5.27,5,19,14.76
36.478,-0.88,-5.62,5,19,14.76
36.557,-2.29,-5.62,5,35,14.74
36.628,-2.46,-6.15,5,-16,14.76
36.711,0.88,-5.1,5,-17,14.76
36.803,2.99,-4.39,5,-34,14.77
36.881,1.76,-4.92,5,19,14.77
36.958,-0.53,-5.27,5,35,14.76
37.029,-2.11,-5.45,5,35,14.74
37.11,-2.64,-5.8,5,19,14.75
37.194,-0.35,-5.45,5,-17,14.77
37.273,2.64,-4.39,5,-17,14.77
37.345,2.64,-4.75,5,-34,14.77
37.415,0.53,-5.45,5,19,14.77
37.5,-1.23,-5.62,5,35,14.76
37.584,-2.64,-6.15,5,35,14.76
37.666,-1.58,-6.5,5,-16,14.76
37.748,2.46,-5.1,5,-17,14.77
37.832,3.34,-4.92,5,-34,14.77
37.923,0.35,-5.8,5,19,14.76
38.006,-1.76,-5.8,5,19,14.74
38.094,-2.64,-5.8,5,35,14.76
38.182,-0.88,-5.62,5,-17,14.77
38.261,2.46,-4.57,5,-17,14.76
38.357,2.64,-4.75,5,19,14.76
38.433,0.18,-5.45,5,19,14.76
38.525,-1.93,-5.62,5,35,14.75
38.605,-2.64,-6.15,5,35,14.75
38.684,-0.53,-5.98,5,-17,14.76
38.768,2.81,-4.75,5,-34,14.77
38.846,2.81,-4.92,5,-34,14.76
38.934,0.0,-5.62,5,19,14.77
39.021,-1.76,-5.62,5,19,14.77
39.099,-2.46,-5.8,5,35,14.74
39.185,-0.35,-5.62,5,-17,14.77
39.261,2.64,-4.57,5,-34,14.77
39.338,2.64,-4.75,5,-34,14.76
39.423,0.7,-5.45,5,19,14.76
39.508,-1.58,-5.45,5,35,14.76
39.581,-2.64,-5.98,5,35,14.74
39.684,-0.7,-6.15,5,-16,14.77
39.759,2.81,-4.75,5,-17,14.78
39.845,3.16,-4.92,5,19,14.77
39.937,0.35,-5.8,5,19,14.76
40.02,-1.76,-5.62,5,35,14.68
40.102,-2.99,-6.15,5,35,14.74
40.181,-0.7,-5.98,5,-17,14.77
40.259,2.81,-4.57,5,-17,14.76
40.336,3.16,-4.75,5,-34,14.77
40.41,0.88,-5.45,5,19,14.76
40.492,-1.41,-5.62,5,19,14.78
40.572,-2.46,-5.62,5,35,14.74
40.654,-1.93,-5.98,5,-16,14.76
40.734,1.41,-4.92,5,-17,14.77
40.81,2.99,-4.57,5,-34,14.76
40.898,1.41,-5.1,5,19,14.77
40.969,-0.7,-5.45,5,19,14.77
41.039,-1.93,-5.45,5,35,14.67
