t,pend,servo,mode,pwm,v
21.734,1.05,-5.8,5,-26,14.76
21.81,3.69,-4.92,5,-26,14.77
21.887,2.11,-5.45,5,28,14.76
21.984,-1.76,-6.5,5,28,14.75
22.062,-3.16,-6.5,5,35,14.74
22.146,-2.81,-7.03,5,-33,14.76
22.226,1.05,-5.98,5,-33,14.77
22.31,3.87,-5.1,5,-33,14.76
22.397,1.76,-5.8,5,28,14.76
22.479,-1.93,-6.5,5,28,14.76
22.554,-3.16,-6.33,5,28,14.74
22.633,-2.81,-6.86,5,-25,14.74
22.715,0.88,-5.98,5,-26,14.76
22.812,3.87,-5.1,5,-33,14.76
22.887,1.76,-5.8,5,28,14.76
22.985,-1.41,-6.5,5,28,14.76
23.067,-2.99,-6.5,5,35,14.74
23.145,-2.64,-6.86,5,-25,14.77
23.222,1.05,-5.98,5,-26,14.76
23.295,3.69,-5.1,5,-33,14.76
23.372,2.46,-5.45,5,28,14.76
23.458,-0.7,-6.5,5,28,14.76
23.534,-2.64,-6.33,5,35,14.76
23.609,-2.99,-6.68,5,35,14.73
23.705,-0.35,-6.5,5,-26,14.77
23.783,3.52,-5.1,5,-26,14.76
23.877,2.46,-5.45,5,28,14.75
23.962,-0.88,-6.5,5,28,14.76
24.046,-2.99,-6.33,5,35,14.75
24.125,-3.16,-6.86,5,35,14.74
24.207,0.18,-6.15,5,-26,14.77
24.297,3.69,-4.92,5,-26,14.76
24.385,2.11,-5.62,5,28,14.76
24.457,-1.23,-6.5,5,28,14.76
24.537,-2.64,-6.33,5,35,14.74
24.633,-2.99,-6.86,5,-25,14.74
24.704,0.0,-6.15,5,-26,14.76
24.786,3.52,-5.1,5,-26,14.76
24.86,2.99,-5.27,5,28,14.76
24.935,-0.18,-6.33,5,28,14.76
25.039,-2.81,-6.5,5,35,14.74
25.131,-2.81,-6.86,5,-25,14.74
25.215,0.7,-6.15,5,-26,14.76
25.287,3.69,-5.1,5,-26,14.76
25.399,1.93,-5.8,5,28,14.76
25.478,-1.93,-6.68,5,35,14.75
25.569,-2.99,-6.33,5,28,14.74
25.662,-2.11,-6.86,5,-25,14.76
25.748,2.29,-5.45,5,-26,14.76
25.827,3.69,-5.1,5,-33,14.76
25.908,0.88,-5.98,5,28,14.76
26.016,-2.11,-6.5,5,28,14.74
26.092,-3.16,-6.68,5,35,14.74
26.182,-1.41,-6.86,5,-25,14.76
26.263,2.99,-5.27,5,-26,14.76
26.343,3.52,-5.1,5,28,14.76
26.416,0.53,-6.15,5,28,14.76
26.493,-2.11,-6.5,5,29,14.76
26.585,-2.99,-6.33,5,35,14.74
26.681,-1.93,-7.03,5,-25,14.76
26.767,2.46,-5.45,5,-26,14.76
26.865,3.52,-5.27,5,-33,14.76
26.947,-0.35,-6.5,5,28,14.66
27.034,-2.46,-6.5,5,35,14.74
27.128,-3.16,-6.86,5,35,14.73
27.209,-0.18,-6.5,5,-26,14.76
27.286,3.52,-5.1,5,-26,14.76
27.376,2.64,-5.45,5,28,14.76
27.472,-1.58,-6.68,5,29,14.76
27.545,-2.81,-6.5,5,28,14.74
27.62,-2.81,-6.86,5,35,14.74
27.701,-0.18,-6.5,5,-26,14.76
27.776,3.34,-5.27,5,-26,14.76
27.858,3.34,-5.45,5,28,14.76
27.934,0.0,-6.33,5,28,14.76
28.017,-2.29,-6.33,5,28,14.76
28.126,-3.16,-6.5,5,35,14.74
28.23,0.7,-5.8,5,-26,14.76
28.327,3.69,-4.75,5,-34,14.71
28.418,1.41,-5.62,5,28,14.76
28.514,-2.46,-6.33,5,35,14.74
28.597,-3.16,-6.5,5,35,14.74
28.685,-1.23,-6.68,5,-25,14.71
28.789,3.69,-4.92,5,-26,14.74
28.866,2.81,-5.27,5,28,14.76
28.938,-0.53,-6.33,5,28,14.76
29.025,-2.64,-6.33,5,35,14.75
29.1,-3.16,-6.5,5,35,14.74
29.172,-1.05,-6.15,5,-26,14.77
29.251,2.46,-4.92,5,-26,14.77
29.333,2.99,-4.75,5,-34,14.76
29.431,0.35,-5.45,5,28,14.76
29.501,-2.46,-5.98,5,28,14.73
29.579,-3.16,-6.33,5,35,14.74
29.68,-1.41,-6.86,5,-25,14.76
29.758,3.16,-5.62,5,-26,14.77
29.845,3.69,-5.8,5,-33,14.76
29.915,0.7,-6.5,5,28,14.76
29.993,-2.11,-6.86,5,29,14.76
30.067,-2.99,-6.5,5,35,14.74
30.155,-2.64,-6.86,5,-25,14.76
30.239,1.58,-5.45,5,-26,14.77
30.313,3.69,-4.75,5,-34,14.76
30.392,1.58,-5.45,5,28,14.76
30.488,-1.76,-6.33,5,28,14.76
30.579,-3.16,-6.15,5,35,14.75
