t_ms,mode,pwm,servo_count,servo_deg,pend_count,pend_raw_deg,pend_deg,ina_ok,v_bus,i_ma,p_mw
23927,5,0,0,0.0,0,0.0,0.0,True,14.676,26.7,394.0
24063,5,0,0,0.0,0,0.0,0.0,True,14.68,25.9,380.0
24196,5,0,0,0.0,0,0.0,0.0,True,14.68,27.7,406.0
24336,5,0,0,0.0,0,0.0,0.0,True,14.676,26.0,380.0
24468,5,0,0,0.0,0,0.0,0.0,True,14.68,27.7,406.0
24616,5,0,0,0.0,0,0.0,0.0,True,14.672,26.5,390.0
24739,5,0,0,0.0,0,0.0,0.0,True,14.672,26.4,386.0
24872,5,0,0,0.0,0,0.0,0.0,True,14.676,26.5,390.0
25025,5,0,0,0.0,0,0.0,0.0,True,14.68,26.4,386.0
25154,5,0,0,0.0,0,0.0,0.0,True,14.672,28.3,416.0
25281,5,0,0,0.0,0,0.0,0.0,True,14.676,27.2,400.0
25410,5,0,0,0.0,0,0.0,0.0,True,14.676,26.8,394.0
25542,5,0,0,0.0,0,0.0,0.0,True,14.676,27.6,406.0
25671,5,0,0,0.0,0,0.0,0.0,True,14.676,27.6,406.0
25849,5,0,0,0.0,0,0.0,0.0,True,14.68,26.6,390.0
25976,5,0,0,0.0,0,0.0,0.0,True,14.676,25.6,376.0
26207,5,0,0,0.0,0,0.0,0.0,True,14.672,28.7,422.0
26344,5,0,0,0.0,0,0.0,0.0,True,14.652,31.0,456.0
26469,5,0,0,0.0,0,0.0,0.0,True,14.68,27.3,400.0
26595,5,0,0,0.0,0,0.0,0.0,True,14.676,25.8,376.0
26717,5,0,0,0.0,0,0.0,0.0,True,14.68,28.4,416.0
26838,5,0,0,0.0,0,0.0,0.0,True,14.68,26.9,394.0
26969,5,0,0,0.0,0,0.0,0.0,True,14.672,28.0,410.0
27115,5,0,0,0.0,0,0.0,0.0,True,14.676,27.4,404.0
27258,5,0,0,0.0,0,0.0,0.0,True,14.672,26.3,386.0
27389,5,0,0,0.0,0,0.0,0.0,True,14.688,27.6,406.0
27523,5,0,0,0.0,0,0.0,0.0,True,14.68,26.6,360.0
27667,5,0,0,0.0,0,0.0,0.0,True,14.676,26.3,386.0
27800,5,0,0,0.0,0,0.0,0.0,True,14.676,28.8,422.0
27955,5,0,0,0.0,0,0.0,0.0,True,14.676,26.6,390.0
28090,5,0,0,0.0,0,0.0,0.0,True,14.668,28.4,416.0
28211,5,0,0,0.0,0,0.0,0.0,True,14.676,26.9,394.0
28341,5,0,0,0.0,0,0.0,0.0,True,14.676,26.6,390.0
28469,5,0,0,0.0,0,0.0,0.0,True,14.676,26.8,394.0
28590,5,0,0,0.0,0,0.0,0.0,True,14.672,28.0,410.0
28733,5,0,0,0.0,0,0.0,0.0,True,14.676,26.1,384.0
28899,5,0,0,0.0,0,0.0,0.0,True,14.68,26.1,384.0
29021,5,0,0,0.0,0,0.0,0.0,True,14.688,26.6,390.0
29155,5,0,0,0.0,0,0.0,0.0,True,14.676,27.4,404.0
29280,5,0,0,0.0,0,0.0,0.0,True,14.68,26.1,384.0
29414,5,0,0,0.0,0,0.0,0.0,True,14.676,26.7,394.0
29559,5,0,0,0.0,0,0.0,0.0,True,14.676,26.8,394.0
29699,5,0,0,0.0,0,0.0,0.0,True,14.672,27.6,406.0
29825,5,0,0,0.0,0,0.0,0.0,True,14.676,27.3,400.0
29971,5,0,0,0.0,0,0.0,0.0,True,14.676,26.5,390.0
30140,5,0,0,0.0,0,0.0,0.0,True,14.676,26.2,384.0
30282,5,0,0,0.0,0,0.0,0.0,True,14.68,28.1,412.0
30403,5,0,0,0.0,0,0.0,0.0,True,14.672,29.1,386.0
30548,5,0,0,0.0,0,0.0,0.0,True,14.68,27.1,396.0
30669,5,0,0,0.0,0,0.0,0.0,True,14.676,27.6,406.0
30810,5,0,0,0.0,0,0.0,0.0,True,14.68,28.4,416.0
30931,5,0,0,0.0,0,0.0,0.0,True,14.676,27.2,400.0
31054,5,0,0,0.0,0,0.0,0.0,True,14.676,26.0,380.0
31180,5,0,0,0.0,0,0.0,0.0,True,14.676,27.7,406.0
31337,5,0,0,0.0,0,0.0,0.0,True,14.676,27.2,400.0
31471,5,0,0,0.0,0,0.0,0.0,True,14.68,25.8,380.0
31634,5,0,0,0.0,0,0.0,0.0,True,14.676,26.3,386.0
31766,5,0,0,0.0,0,0.0,0.0,True,14.676,25.9,380.0
31915,5,0,0,0.0,0,0.0,0.0,True,14.68,28.3,416.0
32054,5,0,0,0.0,0,0.0,0.0,True,14.68,27.1,396.0
32194,5,0,0,0.0,0,0.0,0.0,True,14.668,28.7,390.0
32346,5,0,0,0.0,0,0.0,0.0,True,14.672,28.1,412.0
32480,5,0,0,0.0,0,0.0,0.0,True,14.68,27.3,400.0
32655,5,0,0,0.0,0,0.0,0.0,True,14.676,27.7,406.0
32777,5,0,0,0.0,0,0.0,0.0,True,14.672,25.9,380.0
32901,5,0,0,0.0,0,0.0,0.0,True,14.672,27.3,400.0
33037,5,0,0,0.0,0,0.0,0.0,True,14.676,27.6,406.0
33179,5,0,0,0.0,0,0.0,0.0,True,14.676,26.5,390.0
33300,5,0,0,0.0,0,0.0,0.0,True,14.68,26.0,380.0
33438,5,0,0,0.0,0,0.0,0.0,True,14.676,27.4,404.0
33589,5,0,0,0.0,0,0.0,0.0,True,14.676,26.7,394.0
33732,5,0,0,0.0,0,0.0,0.0,True,14.672,27.7,406.0
33879,5,0,0,0.0,0,0.0,0.0,True,14.672,26.7,394.0
33998,5,0,0,0.0,0,0.0,0.0,True,14.676,27.5,404.0
34125,5,0,0,0.0,0,0.0,0.0,True,14.644,27.1,396.0
34271,5,0,0,0.0,0,0.0,0.0,True,14.672,26.8,394.0
34391,5,0,0,0.0,0,0.0,0.0,True,14.676,26.4,386.0
34619,5,0,0,0.0,0,0.0,0.0,True,14.672,28.1,394.0
34740,5,0,0,0.0,0,0.0,0.0,True,14.676,25.9,380.0
34888,5,0,0,0.0,0,0.0,0.0,True,14.68,27.5,404.0
35029,5,0,0,0.0,0,0.0,0.0,True,14.676,27.0,396.0
35155,5,0,0,0.0,0,0.0,0.0,True,14.676,27.8,410.0
35286,5,0,0,0.0,0,0.0,0.0,True,14.672,28.5,420.0
35416,5,0,0,0.0,0,0.0,0.0,True,14.676,26.7,394.0
35559,5,0,0,0.0,0,0.0,0.0,True,14.68,25.3,370.0
35703,5,0,0,0.0,0,0.0,0.0,True,14.676,27.0,396.0
35834,5,0,0,0.0,0,0.0,0.0,True,14.676,27.9,410.0
35959,5,0,0,0.0,0,0.0,0.0,True,14.672,26.4,386.0
36085,5,0,0,0.0,0,0.0,0.0,True,14.68,27.0,396.0
36228,5,0,0,0.0,0,0.0,0.0,True,14.676,26.8,394.0
36367,5,0,0,0.0,0,0.0,0.0,True,14.676,26.7,394.0
36531,5,0,0,0.0,0,0.0,0.0,True,14.68,26.5,390.0
36674,5,0,0,0.0,0,0.0,0.0,True,14.676,26.3,386.0
36835,5,0,0,0.0,0,0.0,0.0,True,14.672,26.9,394.0
36965,5,0,0,0.0,0,0.0,0.0,True,14.676,27.1,396.0
37106,5,0,0,0.0,0,0.0,0.0,True,14.68,26.3,386.0
37233,5,0,0,0.0,0,0.0,0.0,True,14.672,27.3,400.0
37367,5,0,0,0.0,0,0.0,0.0,True,14.68,26.3,386.0
37487,5,0,0,0.0,0,0.0,0.0,True,14.676,27.6,406.0
37626,5,0,0,0.0,0,0.0,0.0,True,14.688,26.8,394.0
37767,5,0,0,0.0,0,0.0,0.0,True,14.676,26.6,390.0
37898,5,0,0,0.0,0,0.0,0.0,True,14.68,26.1,384.0
38016,5,0,0,0.0,0,0.0,0.0,True,14.68,27.6,406.0
38136,5,0,0,0.0,0,0.0,0.0,True,14.676,28.1,412.0
38275,5,0,0,0.0,0,0.0,0.0,True,14.668,28.8,422.0
38418,5,0,0,0.0,0,0.0,0.0,True,14.68,26.4,386.0
38548,5,0,0,0.0,0,0.0,0.0,True,14.68,28.5,420.0
38666,5,0,0,0.0,0,0.0,0.0,True,14.672,28.3,416.0
38818,5,0,0,0.0,0,0.0,0.0,True,14.68,25.9,380.0
38939,5,0,0,0.0,0,0.0,0.0,True,14.68,27.5,404.0
39084,5,0,0,0.0,0,0.0,0.0,True,14.672,28.2,386.0
39333,5,0,0,0.0,0,0.0,0.0,True,14.68,26.4,386.0
39466,5,0,0,0.0,0,0.0,0.0,True,14.672,27.3,400.0
39620,5,0,0,0.0,0,0.0,0.0,True,14.676,28.5,420.0
39774,5,0,0,0.0,0,0.0,0.0,True,14.672,26.9,394.0
39945,5,0,0,0.0,0,0.0,0.0,True,14.676,27.9,410.0
40065,5,0,0,0.0,0,0.0,0.0,True,14.676,27.5,404.0
40189,5,0,0,0.0,0,0.0,0.0,True,14.676,27.6,406.0
40346,5,0,0,0.0,0,0.0,0.0,True,14.676,27.3,400.0
40479,5,0,0,0.0,0,0.0,0.0,True,14.68,27.2,400.0
40603,5,0,0,0.0,0,0.0,0.0,True,14.676,28.1,412.0
40724,5,0,0,0.0,0,0.0,0.0,True,14.684,27.0,396.0
40847,5,0,0,0.0,0,0.0,0.0,True,14.676,27.5,404.0
40979,5,0,0,0.0,0,0.0,0.0,True,14.676,27.1,396.0
41103,5,0,0,0.0,0,0.0,0.0,True,14.68,26.4,386.0
41237,5,0,0,0.0,0,0.0,0.0,True,14.672,28.1,412.0
41378,5,0,0,0.0,0,0.0,0.0,True,14.676,27.4,404.0
41504,5,0,0,0.0,0,0.0,0.0,True,14.68,26.9,394.0
41657,5,0,0,0.0,0,0.0,0.0,True,14.668,29.1,426.0
41807,5,0,0,0.0,0,0.0,0.0,True,14.672,28.1,412.0
41933,5,0,0,0.0,0,0.0,0.0,True,14.676,26.4,386.0
42056,5,0,0,0.0,0,0.0,0.0,True,14.68,26.4,386.0
42198,5,0,0,0.0,0,0.0,0.0,True,14.676,25.7,376.0
42344,5,0,0,0.0,0,0.0,0.0,True,14.684,26.5,390.0
42486,5,0,0,0.0,0,0.0,0.0,True,14.676,26.5,390.0
42607,5,0,0,0.0,0,0.0,0.0,True,14.672,27.6,406.0
42731,5,0,0,0.0,0,0.0,0.0,True,14.672,28.1,412.0
42880,5,0,0,0.0,0,0.0,0.0,True,14.676,27.7,406.0
43059,5,0,0,0.0,0,0.0,0.0,True,14.672,28.0,410.0
43203,5,0,0,0.0,0,0.0,0.0,True,14.672,28.5,420.0
43337,5,0,0,0.0,0,0.0,0.0,True,14.68,27.2,400.0
43457,5,0,0,0.0,0,0.0,0.0,True,14.676,28.7,422.0
43577,5,0,0,0.0,0,0.0,0.0,True,14.672,28.2,412.0
43726,5,0,0,0.0,0,0.0,0.0,True,14.684,26.7,394.0
43863,5,0,0,0.0,0,0.0,0.0,True,14.672,28.2,412.0
44036,5,0,0,0.0,0,0.0,0.0,True,14.676,27.1,396.0
44176,5,0,0,0.0,0,0.0,0.0,True,14.676,26.3,386.0
44316,5,0,0,0.0,0,0.0,0.0,True,14.672,30.7,452.0
44470,5,0,0,0.0,0,0.0,0.0,True,14.676,26.3,386.0
44636,5,0,0,0.0,0,0.0,0.0,True,14.672,28.2,412.0
44810,5,0,0,0.0,0,0.0,0.0,True,14.672,28.2,412.0
44956,5,0,0,0.0,0,0.0,0.0,True,14.672,28.5,420.0
45081,5,0,0,0.0,0,0.0,0.0,True,14.68,28.3,416.0
45200,5,0,0,0.0,0,0.0,0.0,True,14.68,26.1,384.0
45340,5,0,0,0.0,0,0.0,0.0,True,14.676,27.5,404.0
45475,5,0,0,0.0,0,0.0,0.0,True,14.676,27.1,396.0
45599,5,0,0,0.0,0,0.0,0.0,True,14.676,25.9,380.0
45731,5,0,0,0.0,0,0.0,0.0,True,14.676,26.3,386.0
45859,5,0,0,0.0,0,0.0,0.0,True,14.676,26.3,386.0
45987,5,0,0,0.0,0,0.0,0.0,True,14.68,25.7,376.0
46130,5,0,0,0.0,0,0.0,0.0,True,14.676,27.5,404.0
46272,5,0,0,0.0,0,0.0,0.0,True,14.676,27.5,404.0
46398,5,0,0,0.0,0,0.0,0.0,True,14.676,26.9,394.0
46531,5,0,0,0.0,0,0.0,0.0,True,14.68,27.0,396.0
46660,5,0,0,0.0,0,0.0,0.0,True,14.676,27.4,404.0
46785,5,0,0,0.0,0,0.0,0.0,True,14.68,27.1,396.0
46906,5,0,0,0.0,0,0.0,0.0,True,14.676,28.0,410.0
47035,5,0,0,0.0,0,0.0,0.0,True,14.676,27.6,406.0
47160,5,0,0,0.0,0,0.0,0.0,True,14.68,27.1,396.0
47311,5,0,0,0.0,0,0.0,0.0,True,14.668,26.6,390.0
47507,5,0,0,0.0,0,0.0,0.0,True,14.668,28.4,416.0
47634,5,0,0,0.0,0,0.0,0.0,True,14.676,27.3,400.0
47760,5,0,0,0.0,0,0.0,0.0,True,14.676,26.7,394.0
47928,5,0,0,0.0,0,0.0,0.0,True,14.676,27.3,400.0
48078,5,0,0,0.0,0,0.0,0.0,True,14.676,27.2,400.0
48206,5,0,0,0.0,0,0.0,0.0,True,14.688,26.0,380.0
48359,5,0,0,0.0,0,0.0,0.0,True,14.676,28.3,416.0
48504,5,0,0,0.0,0,0.0,0.0,True,14.676,27.8,406.0
48635,5,0,0,0.0,0,0.0,0.0,True,14.68,26.6,390.0
48764,5,0,0,0.0,0,0.0,0.0,True,14.676,28.0,410.0
48893,5,0,0,0.0,0,0.0,0.0,True,14.684,26.9,396.0
49045,5,0,0,0.0,0,0.0,0.0,True,14.676,28.3,416.0
49198,5,0,0,0.0,0,0.0,0.0,True,14.676,28.2,412.0
49345,5,0,0,0.0,0,0.0,0.0,True,14.68,28.0,410.0
